code,name,reason,geoname_ids
AUHRY,Henbury,conflicting or missing match,8298715
AUHRN,Heron Island,conflicting or missing match,2163541;6354955;12129123
AUHIG,Highbury,conflicting or missing match,7731085
AUHOK,Hooker Creek,conflicting or missing match,7731093
AUHOT,Hope Tun,no explicit link,
AUHUB,Humbert River,conflicting or missing match,7731096
AUIFF,Iffley,conflicting or missing match,8166079
AUIKP,Inkerman,conflicting or missing match,7731112
AUIVW,Inverway,conflicting or missing match,7731126
AUJOV,Jabiru Venture (oil terminal),no explicit link,
AUKFG,Kalkurung,conflicting or missing match,7731167
AUKML,Kamileroi,conflicting or missing match,7731178
AUKNG,Kensington Gardens,no explicit link,
AUKBD,Kimberley Downs,conflicting or missing match,7731155
AUKNS,King Is,conflicting or missing match,7668729
AUKCS,Kings Creek Station,conflicting or missing match,7731162
AUKBB,Kirkimbie,conflicting or missing match,7731154
AUKUG,Kubin Island,conflicting or missing match,7731197
AUKRD,Kurundi,conflicting or missing match,2068087
AULEL,Lake Evella,conflicting or missing match,7731217
AULDW,Lansdowne,conflicting or missing match,8260847
AULUU,Laura,conflicting or missing match,7731245
AULUT,Laura Station,conflicting or missing match,7731244
AULGT,Legendre Terminal,no explicit link,
AULIB,Limbunya,conflicting or missing match,7731223
AULLL,Lissadell,conflicting or missing match,8607712
AULDH,Lord Howe Is,conflicting or missing match,6930427;7668731
AULOA,Lorraine,conflicting or missing match,7731234
AULTV,Lotusvale,conflicting or missing match,7731242
AULTP,Lyndhurst,conflicting or missing match,7731241
AUMNW,Macdonald Downs,conflicting or missing match,7731285
AUMHC,Macmahon Camp 4,no explicit link,
AUMIZ,Mainoru,conflicting or missing match,8298954
AUMQA,Mandora,conflicting or missing match,7731288
AUMGV,Margaret River Station,conflicting or missing match,7910395
AUMXD,Marion Downs,conflicting or missing match,7731312
AUMCY,Maroochydore Apt/Sunshine Coast,conflicting or missing match,7668691
AUMCV,Mcarthur River,conflicting or missing match,7910449
AUKAH,Melbourne City Heliport,conflicting or missing match,6693764
AURTY,Merty,conflicting or missing match,7731473
AUMIB,Milner Bay,no explicit link,
AUMWY,Miranda Downs,conflicting or missing match,7731310
AUMXQ,Mitchell River,no explicit link,
AUMIY,Mittiebah,conflicting or missing match,8599770
AUONR,Monkira,conflicting or missing match,7731369
AUMON,Montara Field,no explicit link,
AUMWT,Moolawatana,conflicting or missing match,8298794
AUOOR,Mooraberree,conflicting or missing match,7731370
AUOXY,Morney,conflicting or missing match,7731378
AUONG,Mornington,conflicting or missing match,7731367
AUMNV,Mountain Valley,conflicting or missing match,8260870
AUMFL,Mount Full Stop,conflicting or missing match,8298786
AUMTD,Mount Sandford,conflicting or missing match,7731296
AUMUQ,Muccan,conflicting or missing match,7731304
AUMVK,Mulka,conflicting or missing match,2065412
AUMNE,Mungeranie,no explicit link,
AUMVU,Musgrave,no explicit link,
AUMYO,Myroodah,conflicting or missing match,7731317
AUNMR,Nappa Merry,conflicting or missing match,7731338
AUNLS,Nicholson,conflicting or missing match,7731337
AUNIF,Nifty,conflicting or missing match,7731333
